item,ans_ind,ans_text,ans_prop,state
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",c,not sure,4.55,NE
55. I do exclusively figurative paintings anymore,a,acceptable,11.86,NE
55. I do exclusively figurative paintings anymore,b,unacceptable,78.53,NE
55. I do exclusively figurative paintings anymore,c,not sure,9.6,NE
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,a,acceptable,75.57,NE
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,b,unacceptable,22.16,NE
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,c,not sure,2.27,NE
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),a,acceptable,23.3,NE
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),b,unacceptable,66.48,NE
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),c,not sure,10.23,NE
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",a,tag sale,0.57,NE
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",j,car boot sale,0.57,NE
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",m,other,2.27,NE
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",b,yard sale,13.64,NE
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",c,garage sale,76.7,NE
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",d,rummage sale,5.11,NE
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",g,carport sale,0.57,NE
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",h,sidewalk sale,0.57,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",a,mumblety-peg,6.86,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",l,baseball jackknife,0.57,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",m,stick-knife,1.14,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",n,stick-frog,0.57,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",o,stretch,3.43,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",p,chicken,4,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",r,splits,0.57,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",s,Russian roulette,1.14,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",b,mumbledy-peg,5.71,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",t,"I have never heard of this ""game"" and have no idea what it's called",44,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",u,other (state here if you have heard one or more of these terms but never knew what they meant),13.14,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",c,mumbly peg,15.43,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",d,mumbly pegs,0.57,NE
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",e,mumblely peg (with 2 l's),2.86,NE
60. What do you call the area of grass between the sidewalk and the road?,a,berm,2.31,NE
60. What do you call the area of grass between the sidewalk and the road?,b,parking,10.98,NE
60. What do you call the area of grass between the sidewalk and the road?,c,tree lawn,1.16,NE
60. What do you call the area of grass between the sidewalk and the road?,d,terrace,1.16,NE
60. What do you call the area of grass between the sidewalk and the road?,e,curb strip,9.25,NE
60. What do you call the area of grass between the sidewalk and the road?,g,verge,1.16,NE
60. What do you call the area of grass between the sidewalk and the road?,h,I have no word for this,60.12,NE
60. What do you call the area of grass between the sidewalk and the road?,i,other,13.87,NE
61. What do you call the area of grass that occurs in the middle of some streets?,a,boulevard,13.37,NE
61. What do you call the area of grass that occurs in the middle of some streets?,b,midway,0.58,NE
61. What do you call the area of grass that occurs in the middle of some streets?,c,traffic island,6.4,NE
61. What do you call the area of grass that occurs in the middle of some streets?,d,island,48.84,NE
61. What do you call the area of grass that occurs in the middle of some streets?,f,I have no word for this,12.79,NE
61. What do you call the area of grass that occurs in the middle of some streets?,g,other,18.02,NE
62. What do you call the long narrow place in the middle of a divided highway?,a,median strip,6.86,NE
62. What do you call the long narrow place in the middle of a divided highway?,j,other,0.57,NE
62. What do you call the long narrow place in the middle of a divided highway?,b,median,85.71,NE
62. What do you call the long narrow place in the middle of a divided highway?,c,boulevard,1.14,NE
62. What do you call the long narrow place in the middle of a divided highway?,e,traffic island,0.57,NE
62. What do you call the long narrow place in the middle of a divided highway?,g,island,2.86,NE
62. What do you call the long narrow place in the middle of a divided highway?,i,I have no word for this,2.29,NE
63. What do you call the drink made with milk and ice cream?,a,milkshake/shake,98.86,NE
63. What do you call the drink made with milk and ice cream?,f,other,1.14,NE
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",a,sub,83.43,NE
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",j,I have no word for this,1.14,NE
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",k,other,2.86,NE
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",c,hoagie,9.71,NE
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",d,hero,1.71,NE
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",e,poor boy,1.14,NE
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,a,lightning bug,42.86,NE
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,b,firefly,10.29,NE
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,c,I use lightning bug and firefly interchangeably,46.86,NE
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,a,crawfish,27.91,NE
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,b,crayfish,12.79,NE
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,e,crawdad,52.91,NE
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,g,I have no word for this critter,5.23,NE
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,h,other,1.16,NE
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,a,daddy long leg(s),91.86,NE
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,l,other,5.81,NE
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,b,daddy big legs,1.16,NE
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,e,granddaddy,1.16,NE
68. What nicknames do/did you use for your maternal grandmother?,a,grandmother,2.34,NE
68. What nicknames do/did you use for your maternal grandmother?,b,granny,0.58,NE
68. What nicknames do/did you use for your maternal grandmother?,c,grandma,68.42,NE
68. What nicknames do/did you use for your maternal grandmother?,d,nana,2.92,NE
68. What nicknames do/did you use for your maternal grandmother?,f,grammy/grammie/grammi,2.34,NE
68. What nicknames do/did you use for your maternal grandmother?,g,other,23.39,NE
69. What about your paternal grandmother (is there a distinction?),a,grandmother,4.09,NE
69. What about your paternal grandmother (is there a distinction?),b,granny,0.58,NE
69. What about your paternal grandmother (is there a distinction?),c,grandma,61.99,NE
69. What about your paternal grandmother (is there a distinction?),d,gramma,21.05,NE
69. What about your paternal grandmother (is there a distinction?),e,nana,1.17,NE
69. What about your paternal grandmother (is there a distinction?),f,other,11.11,NE
70. What do/did you call your maternal grandfather?,a,gramps,0.58,NE
70. What do/did you call your maternal grandfather?,b,grandpa,28.65,NE
70. What do/did you call your maternal grandfather?,c,grampa,17.54,NE
70. What do/did you call your maternal grandfather?,d,"grandad, granddad",3.51,NE
70. What do/did you call your maternal grandfather?,f,"I spell it ""grandpa"" but pronounce it as ""grampa""",40.35,NE
70. What do/did you call your maternal grandfather?,g,other (including if you use a different term to address him directly than you do when speaking about him to a third party),9.36,NE
71. paternal grandfather?,a,gramps,0.59,NE
71. paternal grandfather?,b,grandpa,46.15,NE
71. paternal grandfather?,c,grampa,37.87,NE
71. paternal grandfather?,e,other,15.38,NE
72. What do you call the big clumps of dust that gather under furniture and in corners?,a,dust bunnies,77.78,NE
72. What do you call the big clumps of dust that gather under furniture and in corners?,b,dust kittens,0.58,NE
72. What do you call the big clumps of dust that gather under furniture and in corners?,c,dust mice,0.58,NE
72. What do you call the big clumps of dust that gather under furniture and in corners?,e,dust balls,19.3,NE
72. What do you call the big clumps of dust that gather under furniture and in corners?,f,other,1.75,NE
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",a,sneakers,13.53,NE
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",j,I have no general word for this,0.59,NE
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",k,other,3.53,NE
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",b,shoes,2.94,NE
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",c,gymshoes,2.35,NE
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",f,tennis shoes,75.88,NE
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",g,running shoes,0.59,NE
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",i,trainers,0.59,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,a,pill bug,11.76,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,j,millipede,0.59,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,k,centipede,2.94,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,l,"I know what this creature is, but have no word for it",7.06,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,m,I have no idea what this creature is,12.35,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,n,other,4.71,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,b,doodle bug,1.18,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,c,potato bug,3.53,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,d,roly poly,47.65,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,e,sow bug,7.65,NE
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,h,roll-up bug,0.59,NE
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,a,shopping cart,69.19,NE
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,c,grocery cart,24.42,NE
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,f,buggy,1.16,NE
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,h,other,5.23,NE
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,a,kitty-corner,37.06,NE
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,b,kitacorner,0.59,NE
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,c,catercorner,0.59,NE
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,d,catty-corner,54.71,NE
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,f,kitty wampus,0.59,NE
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,g,"I can only use ""diagonal"" for this",2.94,NE
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,i,other,3.53,NE
77. What do you call the activity of driving around in circles in a car?,a,doing donuts,50,NE
77. What do you call the activity of driving around in circles in a car?,b,doing cookies,26.25,NE
77. What do you call the activity of driving around in circles in a car?,c,whipping shitties,3.12,NE
77. What do you call the activity of driving around in circles in a car?,d,other,20.63,NE
78. What do you call paper that has already been used for something or is otherwise imperfect?,a,scratch paper,47.98,NE
78. What do you call paper that has already been used for something or is otherwise imperfect?,b,scrap paper,9.83,NE
78. What do you call paper that has already been used for something or is otherwise imperfect?,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",40.46,NE
78. What do you call paper that has already been used for something or is otherwise imperfect?,d,other,1.73,NE
79. What is your *general* term for a big road that you drive relatively fast on?,a,highway,60.95,NE
79. What is your *general* term for a big road that you drive relatively fast on?,j,other,10.06,NE
79. What is your *general* term for a big road that you drive relatively fast on?,b,freeway,11.24,NE
79. What is your *general* term for a big road that you drive relatively fast on?,e,expressway,0.59,NE
79. What is your *general* term for a big road that you drive relatively fast on?,g,a freeway is bigger than a highway,3.55,NE
79. What is your *general* term for a big road that you drive relatively fast on?,i,"a freeway has limited access (no stop lights, no intersections), whereas a highway can have stop lights and intersections",13.61,NE
80. What do you call it when rain falls while the sun is shining?,a,sunshower,17.65,NE
80. What do you call it when rain falls while the sun is shining?,c,the devil is beating his wife,0.59,NE
80. What do you call it when rain falls while the sun is shining?,e,fox's wedding,0.59,NE
80. What do you call it when rain falls while the sun is shining?,h,I have no term or expression for this,78.82,NE
80. What do you call it when rain falls while the sun is shining?,i,other,2.35,NE
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",a,goose bumps,91.23,NE
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",c,goose pimples,8.19,NE
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",d,chill bumps,0.58,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",k,eye crusties,3.53,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",l,sand,3.53,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",n,gunk,8.24,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",o,matter,7.06,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",p,I have no word for this,3.53,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",q,other,7.65,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",b,sleep,49.41,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",c,sleeper,4.12,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",d,sleepy,1.76,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",e,sleepies,2.35,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",f,sleepy seed,1.18,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",g,sleepy bugs,0.59,NE
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",h,eye booger,7.06,NE
83. What do you call an easy course?,a,gut,2.9,NE
83. What do you call an easy course?,b,crypt course,0.72,NE
83. What do you call an easy course?,d,bird,1.45,NE
83. What do you call an easy course?,e,blow-off,27.54,NE
83. What do you call an easy course?,f,meat,0.72,NE
83. What do you call an easy course?,g,other,66.67,NE
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,a,rotary,5.33,NE
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,b,roundabout,40.83,NE
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,c,circle,5.33,NE
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,d,traffic circle,25.44,NE
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,e,traffic circus,0.59,NE
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,f,I have no word for this,20.12,NE
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,g,other,2.37,NE
85. What is the thing that women use to tie their hair?,a,(hair) elastic,8.86,NE
85. What is the thing that women use to tie their hair?,b,rubber band,36.08,NE
85. What is the thing that women use to tie their hair?,d,hair thing,12.66,NE
85. What is the thing that women use to tie their hair?,e,hair tie,22.15,NE
85. What is the thing that women use to tie their hair?,f,other,20.25,NE
86. Do you use the word cruller?,a,yes,12.43,NE
86. Do you use the word cruller?,b,"no, but I know what it means",44.38,NE
86. Do you use the word cruller?,c,I have no idea what this means,43.2,NE
"87. Do you use the term ""bear claw"" for a kind of pastry?",a,yes,76.79,NE
"87. Do you use the term ""bear claw"" for a kind of pastry?",b,"no, but I know what it means",17.86,NE
"87. Do you use the term ""bear claw"" for a kind of pastry?",c,I have no idea what this means,5.36,NE
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,a,duck-footed,28.14,NE
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,b,slue-footed,0.6,NE
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,c,splay-footed,2.99,NE
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,d,bow-legged,28.74,NE
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,e,toed out,5.99,NE
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,f,other,2.4,NE
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,g,I have no word for this,31.14,NE
"89. Can you call coleslaw ""slaw""?",a,yes,43.45,NE
"89. Can you call coleslaw ""slaw""?",b,"yes, but I can also use it in other forms such as apple slaw or broccoli slaw",11.9,NE
"89. Can you call coleslaw ""slaw""?",c,no,40.48,NE
"89. Can you call coleslaw ""slaw""?",d,I have never heard that usage before,4.17,NE
90. What do you call the box you bury a dead person in?,a,coffin,53.61,NE
90. What do you call the box you bury a dead person in?,b,casket,24.1,NE
90. What do you call the box you bury a dead person in?,c,"a coffin and a casket are not the same, and I know the difference",13.25,NE
90. What do you call the box you bury a dead person in?,d,other,9.04,NE
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",a,vinegar and oil,21.89,NE
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",b,oil and vinegar,60.95,NE
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",c,both sound equally good to me,16.57,NE
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",d,neither,0.59,NE
92. What do you call it when a driver changes over one or more lanes way too quickly?,a,Chinese lane change,5.3,NE
92. What do you call it when a driver changes over one or more lanes way too quickly?,b,Chinese fire drill,13.64,NE
92. What do you call it when a driver changes over one or more lanes way too quickly?,c,other,81.06,NE
"93. When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",a,on line,1.79,NE
"93. When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",b,in line,97.02,NE
"93. When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",c,both sound equally good,1.19,NE
"94. Do you say ""frosting"" or ""icing"" for the sweet spread one puts on a cake?",a,frosting,48.52,NE
"94. Do you say ""frosting"" or ""icing"" for the sweet spread one puts on a cake?",b,icing,1.78,NE
"94. Do you say ""frosting"" or ""icing"" for the sweet spread one puts on a cake?",c,"icing is thinner than frosting, white, and/or made of powdered sugar and milk or lemon juice",26.63,NE
"94. Do you say ""frosting"" or ""icing"" for the sweet spread one puts on a cake?",d,both,23.08,NE
"95. What is ""the City""?",a,New York City,42.76,NE
"95. What is ""the City""?",b,Boston,0.66,NE
"95. What is ""the City""?",d,LA,2.63,NE
"95. What is ""the City""?",e,Chicago,1.32,NE
"95. What is ""the City""?",f,other,52.63,NE
96. What is the distinction between dinner and supper?,a,"supper is an evening meal while dinner is eaten earlier (lunch, for example)",23.08,NE
96. What is the distinction between dinner and supper?,b,"supper is an evening meal, dinner is the main meal",11.24,NE
96. What is the distinction between dinner and supper?,c,dinner takes place in a more formal setting than supper,10.06,NE
96. What is the distinction between dinner and supper?,d,there is no distinction; they both have the same meaning,36.09,NE
96. What is the distinction between dinner and supper?,e,I do not use the term supper,14.2,NE
96. What is the distinction between dinner and supper?,f,I don't use the term dinner,1.18,NE
96. What is the distinction between dinner and supper?,g,other,4.14,NE
97. Which of these terms do you prefer?,a,trash can,44.05,NE
97. Which of these terms do you prefer?,b,garbage can,20.83,NE
97. Which of these terms do you prefer?,c,rubbish bin,1.19,NE
97. Which of these terms do you prefer?,d,waste(paper) basket,2.38,NE
97. Which of these terms do you prefer?,e,These words refer to different things,29.76,NE
97. Which of these terms do you prefer?,f,other,1.79,NE
98. Which of these terms do you prefer?,a,By accident,68.64,NE
98. Which of these terms do you prefer?,b,On accident,13.61,NE
98. Which of these terms do you prefer?,c,both,11.24,NE
98. Which of these terms do you prefer?,d,neither,3.55,NE
98. Which of these terms do you prefer?,e,other,2.96,NE
99. Which of these terms do you prefer for the small road parallel to the highway?,a,frontage road,41.21,NE
99. Which of these terms do you prefer for the small road parallel to the highway?,b,service road,21.21,NE
99. Which of these terms do you prefer for the small road parallel to the highway?,c,access road,25.45,NE
99. Which of these terms do you prefer for the small road parallel to the highway?,d,feeder road,0.61,NE
99. Which of these terms do you prefer for the small road parallel to the highway?,f,we have them but I have no word for them,7.88,NE
99. Which of these terms do you prefer for the small road parallel to the highway?,g,I've never heard of this concept,0.61,NE
99. Which of these terms do you prefer for the small road parallel to the highway?,h,other,3.03,NE
100. Do you cut or mow the lawn or grass?,a,cut the grass,8.93,NE
100. Do you cut or mow the lawn or grass?,c,mow the grass,5.95,NE
100. Do you cut or mow the lawn or grass?,d,mow the lawn,77.98,NE
100. Do you cut or mow the lawn or grass?,e,other,7.14,NE
101. Do you pass in homework or hand in homework?,a,pass in,1.79,NE
101. Do you pass in homework or hand in homework?,b,hand in,85.71,NE
101. Do you pass in homework or hand in homework?,c,both,8.93,NE
101. Do you pass in homework or hand in homework?,e,other,3.57,NE
102. What do you call the insect that looks like a large thin spider and skitters along the top of water?,a,waterbug,52.12,NE
102. What do you call the insect that looks like a large thin spider and skitters along the top of water?,j,I have no word for this,27.27,NE
102. What do you call the insect that looks like a large thin spider and skitters along the top of water?,k,other,1.82,NE
102. What do you call the insect that looks like a large thin spider and skitters along the top of water?,c,waterstrider,5.45,NE
102. What do you call the insect that looks like a large thin spider and skitters along the top of water?,d,strider,1.21,NE
102. What do you call the insect that looks like a large thin spider and skitters along the top of water?,e,water-spider,2.42,NE
102. What do you call the insect that looks like a large thin spider and skitters along the top of water?,g,water beetle,4.24,NE
102. What do you call the insect that looks like a large thin spider and skitters along the top of water?,i,skimmer,5.45,NE
103. What do you call the thing from which you might drink water in a school?,b,water bubbler,0.6,NE
103. What do you call the thing from which you might drink water in a school?,c,drinking fountain,47.02,NE
103. What do you call the thing from which you might drink water in a school?,d,water fountain,50.6,NE
103. What do you call the thing from which you might drink water in a school?,e,other,1.79,NE
104. What do you call a public railway system (normally underground)?,a,the subway,90.96,NE
104. What do you call a public railway system (normally underground)?,b,"the L, or the El",1.2,NE
104. What do you call a public railway system (normally underground)?,d,the metro,2.41,NE
104. What do you call a public railway system (normally underground)?,e,BART,0.6,NE
104. What do you call a public railway system (normally underground)?,f,other,4.82,NE
105. What is your generic term for a sweetened carbonated beverage?,a,soda,16.17,NE
105. What is your generic term for a sweetened carbonated beverage?,j,other,2.4,NE
105. What is your generic term for a sweetened carbonated beverage?,b,pop,75.45,NE
105. What is your generic term for a sweetened carbonated beverage?,c,coke,2.4,NE
105. What is your generic term for a sweetened carbonated beverage?,e,soft drink,3.59,NE
106. What do you call the act of covering a house or area in front of a house with toilet paper?,a,tp'ing,84.34,NE
106. What do you call the act of covering a house or area in front of a house with toilet paper?,c,toilet papering,10.24,NE
106. What do you call the act of covering a house or area in front of a house with toilet paper?,d,wrapping,1.2,NE
106. What do you call the act of covering a house or area in front of a house with toilet paper?,e,papering,1.81,NE
106. What do you call the act of covering a house or area in front of a house with toilet paper?,g,I have no word for this,1.81,NE
106. What do you call the act of covering a house or area in front of a house with toilet paper?,h,other,0.6,NE
107. What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,a,rubberneck,2.98,NE
107. What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,j,other,3.57,NE
107. What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,b,rubbernecking,17.26,NE
107. What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,c,"rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself",56.55,NE
107. What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,d,gapers' block,1.19,NE
107. What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,f,Lookie Lou,2.98,NE
107. What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,h,gawk block,0.6,NE
107. What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,i,I have no word for this,14.88,NE
108. What vowel do you use in bag?,a,"[] as in ""sat""",83.93,NE
108. What vowel do you use in bag?,b,"[] as in ""set""",0.6,NE
108. What vowel do you use in bag?,c,"[e:] as in ""say""",13.1,NE
108. What vowel do you use in bag?,d,other,2.38,NE
109. What do you call the paper container in which you might bring home items you bought at the store?,a,bag,57.23,NE
109. What do you call the paper container in which you might bring home items you bought at the store?,b,sack,38.55,NE
109. What do you call the paper container in which you might bring home items you bought at the store?,d,other,4.22,NE
110. What do you call the night before Halloween?,b,trick night,0.6,NE
110. What do you call the night before Halloween?,c,mischief night,1.2,NE
110. What do you call the night before Halloween?,f,devil's night,3.01,NE
110. What do you call the night before Halloween?,g,devil's eve,0.6,NE
110. What do you call the night before Halloween?,h,I have no word for this,89.76,NE
110. What do you call the night before Halloween?,i,other,4.82,NE
111. What do you call the end of a loaf of bread?,a,end,1.79,NE
111. What do you call the end of a loaf of bread?,b,heel,77.38,NE
111. What do you call the end of a loaf of bread?,c,crust,14.29,NE
111. What do you call the end of a loaf of bread?,d,nose,0.6,NE
111. What do you call the end of a loaf of bread?,e,butt,2.98,NE
111. What do you call the end of a loaf of bread?,h,other,2.98,NE
112. How do you pronounce the word for the type of drug that acts as central nervous system depressant and is used as a sedative or hypnotic? (Please do not look up the word in a dictionary before answering this question.),a,barbituate,83.03,NE
112. How do you pronounce the word for the type of drug that acts as central nervous system depressant and is used as a sedative or hypnotic? (Please do not look up the word in a dictionary before answering this question.),b,barbiturate,7.27,NE
